239.253.254.172:8000,rtp://239.253.254.172:8000
239.253.254.173:8000,rtp://239.253.254.173:8000
239.253.254.174:8000,rtp://239.253.254.174:8000
239.253.254.175:8000,rtp://239.253.254.175:8000
239.253.254.176:8000,rtp://239.253.254.176:8000
239.253.254.177:8000,rtp://239.253.254.177:8000
239.253.254.178:8000,rtp://239.253.254.178:8000
239.253.254.179:8000,rtp://239.253.254.179:8000
239.253.254.180:8000,rtp://239.253.254.180:8000
239.253.254.181:8000,rtp://239.253.254.181:8000
239.253.254.182:8000,rtp://239.253.254.182:8000
239.253.254.183:8000,rtp://239.253.254.183:8000
239.253.254.184:8000,rtp://239.253.254.184:8000
239.253.254.185:8000,rtp://239.253.254.185:8000
239.253.254.186:8000,rtp://239.253.254.186:8000
239.253.254.187:8000,rtp://239.253.254.187:8000
239.253.254.188:8000,rtp://239.253.254.188:8000
239.253.254.189:8000,rtp://239.253.254.189:8000
239.253.254.190:8000,rtp://239.253.254.190:8000
239.253.254.191:8000,rtp://239.253.254.191:8000
239.253.254.192:8000,rtp://239.253.254.192:8000
239.253.254.193:8000,rtp://239.253.254.193:8000
239.253.254.194:8000,rtp://239.253.254.194:8000
239.253.254.195:8000,rtp://239.253.254.195:8000
239.253.254.196:8000,rtp://239.253.254.196:8000
239.253.254.197:8000,rtp://239.253.254.197:8000
239.253.254.198:8000,rtp://239.253.254.198:8000
239.253.254.199:8000,rtp://239.253.254.199:8000
239.253.254.200:8000,rtp://239.253.254.200:8000
239.253.254.206:8000,rtp://239.253.254.206:8000
239.253.254.231:8000,rtp://239.253.254.231:8000
239.253.254.241:8000,rtp://239.253.254.241:8000
239.253.254.242:8000,rtp://239.253.254.242:8000
239.253.254.243:8000,rtp://239.253.254.243:8000
239.253.254.244:8000,rtp://239.253.254.244:8000
239.253.254.245:8000,rtp://239.253.254.245:8000
239.253.254.246:8000,rtp://239.253.254.246:8000
239.253.254.247:8000,rtp://239.253.254.247:8000
239.253.254.248:8000,rtp://239.253.254.248:8000
239.253.254.255:8000,rtp://239.253.254.255:8000
